review_id,review_date,role,gender,browser,os,extension_version,onboarding_score,ui_clarity_score,warning_visibility_score,detection_quality_score,false_positive_control_score,performance_score,stability_score,privacy_trust_score,recommendation_score,overall_score,comment
FB-0014,2025-03-14,школьник,М,Safari,macOS,1.0.2,3,4,3,4,2,4,3,4,3,4,"Расширение помогает, хотя визуально некоторые предупреждения можно сделать компактнее."
FB-0015,2025-03-17,пенсионер,Ж,Yandex,Windows 10,1.0.3,5,4,5,4,5,5,4,5,4,5,"После установки стал внимательнее к доменам, расширение хорошо подсказывает риски."
FB-0016,2025-03-20,человек средних лет,М,Chrome,macOS,1.0.4,3,4,3,4,4,4,3,4,3,4,"Функция репорта полезна, но хотелось бы встроенную отправку в большее число сервисов."
FB-0017,2025-03-23,студент,Ж,Brave,Windows 11,1.0.5,2,1,2,1,2,1,2,1,2,1,"Не устроило качество детекта: пропустил один подозрительный сайт и часто ругался на нормальные."
FB-0018,2025-03-26,школьник,М,Arc,Windows 10,1.0.0,4,5,4,5,4,4,5,4,5,4,"Хорошо ловит подозрительные ссылки и помогает не перейти на поддельный сайт."
FB-0019,2025-03-29,пенсионер,Ж,Safari,macOS,1.0.1,5,4,5,4,5,5,4,5,4,5,"Понравилась скорость проверки: вердикт появляется быстро и читаемо."
FB-0020,2025-04-01,человек средних лет,М,Yandex,Windows 11,1.0.2,3,4,3,4,2,4,3,4,3,4,"Хорошая защита, при этом иногда хочется быстрее добавлять сайт в исключения."
FB-0021,2025-04-04,студент,Ж,Chrome,Windows 10,1.0.3,4,3,4,3,3,3,4,3,4,3,"Польза высокая, но отдельные уведомления можно сделать менее частыми."
FB-0022,2025-04-07,школьник,М,Brave,macOS,1.0.4,4,5,4,5,4,4,5,4,5,4,"Интерфейс простой, всё понятно без отдельной инструкции."
FB-0023,2025-04-10,пенсионер,Ж,Arc,Windows 11,1.0.5,5,4,5,4,5,5,4,5,4,5,"После установки стал внимательнее к доменам, расширение хорошо подсказывает риски."
FB-0024,2025-04-13,человек средних лет,М,Safari,macOS,1.0.0,3,4,3,4,3,4,3,4,3,4,"Функция репорта полезна, но хотелось бы встроенную отправку в большее число сервисов."
FB-0025,2025-04-16,студент,Ж,Yandex,Windows 10,1.0.1,5,4,5,4,5,5,4,5,4,5,"Расширение удобное: предупреждения понятные, в работе почти не мешает."
FB-0026,2025-04-19,школьник,М,Chrome,Windows 11,1.0.2,4,5,4,5,4,4,5,4,5,4,"Хорошо ловит подозрительные ссылки и помогает не перейти на поддельный сайт."
FB-0027,2025-04-22,пенсионер,Ж,Brave,Windows 10,1.0.3,5,4,5,4,5,5,4,5,4,5,"Понравилась скорость проверки: вердикт появляется быстро и читаемо."
FB-0028,2025-04-25,человек средних лет,М,Arc,macOS,1.0.4,3,4,3,4,4,4,3,4,3,4,"Хорошая защита, при этом иногда хочется быстрее добавлять сайт в исключения."
FB-0029,2025-04-28,студент,Ж,Safari,macOS,1.0.5,2,1,2,1,2,1,2,1,2,1,"Не устроило качество детекта: пропустил один подозрительный сайт и часто ругался на нормальные."
FB-0030,2025-05-01,школьник,М,Yandex,Windows 11,1.1.2,4,5,4,5,4,4,5,4,5,4,"Интерфейс простой, всё понятно без отдельной инструкции."
FB-0031,2025-05-04,пенсионер,Ж,Chrome,macOS,1.1.3,5,4,5,4,5,5,4,5,4,5,"После установки стал внимательнее к доменам, расширение хорошо подсказывает риски."
FB-0032,2025-05-07,человек средних лет,М,Brave,Windows 11,1.1.0,3,4,3,4,2,4,3,4,3,4,"Функция репорта полезна, но хотелось бы встроенную отправку в большее число сервисов."
FB-0033,2025-05-10,студент,Ж,Arc,Windows 10,1.1.1,5,4,5,4,5,5,4,5,4,5,"Расширение удобное: предупреждения понятные, в работе почти не мешает."
FB-0034,2025-05-13,школьник,М,Safari,macOS,1.1.2,1,2,1,2,1,2,1,2,1,2,"Производительность просела: на части страниц стало медленнее открытие и взаимодействие."
FB-0035,2025-05-16,пенсионер,Ж,Yandex,Windows 10,1.1.3,4,3,4,3,2,3,4,3,4,3,"Работает стабильно, но на части лендингов бывают спорные предупреждения."
FB-0036,2025-05-19,человек средних лет,М,Chrome,Windows 10,1.1.0,3,4,3,4,3,4,3,4,3,4,"Хорошая защита, при этом иногда хочется быстрее добавлять сайт в исключения."
FB-0037,2025-05-22,студент,Ж,Brave,macOS,1.1.1,5,4,5,4,5,5,4,5,4,5,"Подсветка ссылок до клика действительно снижает число случайных переходов."
FB-0038,2025-05-25,школьник,М,Arc,Windows 11,1.1.2,4,5,4,5,4,4,5,4,5,4,"Интерфейс простой, всё понятно без отдельной инструкции."
FB-0039,2025-05-28,пенсионер,Ж,Safari,macOS,1.1.3,5,4,5,4,5,5,4,5,4,5,"После установки стал внимательнее к доменам, расширение хорошо подсказывает риски."
FB-0040,2025-05-31,человек средних лет,М,Yandex,Windows 11,1.1.0,3,4,3,4,4,4,3,4,3,4,"Функция репорта полезна, но хотелось бы встроенную отправку в большее число сервисов."
FB-0041,2025-06-03,студент,Ж,Chrome,Windows 11,1.1.1,5,4,5,4,5,5,4,5,4,5,"Расширение удобное: предупреждения понятные, в работе почти не мешает."
FB-0042,2025-06-06,школьник,М,Brave,Windows 10,1.1.2,3,4,3,4,3,4,3,4,3,4,"Нравится функциональность, однако хотелось бы ещё подробнее объяснять причину тревоги."
FB-0043,2025-06-09,пенсионер,Ж,Arc,macOS,1.1.3,5,4,5,4,5,5,4,5,4,5,"Понравилась скорость проверки: вердикт появляется быстро и читаемо."
FB-0044,2025-06-12,человек средних лет,М,Safari,macOS,1.1.0,3,4,3,4,2,4,3,4,3,4,"Хорошая защита, при этом иногда хочется быстрее добавлять сайт в исключения."
FB-0045,2025-06-15,студент,Ж,Yandex,Windows 10,1.1.1,5,4,5,4,5,5,4,5,4,5,"Подсветка ссылок до клика действительно снижает число случайных переходов."
FB-0046,2025-06-18,школьник,М,Chrome,macOS,1.1.2,4,5,4,5,4,4,5,4,5,4,"Интерфейс простой, всё понятно без отдельной инструкции."
FB-0047,2025-06-21,пенсионер,Ж,Brave,Windows 11,1.1.3,5,4,5,4,5,5,4,5,4,5,"После установки стал внимательнее к доменам, расширение хорошо подсказывает риски."
FB-0048,2025-06-24,человек средних лет,М,Arc,Windows 10,1.1.0,3,4,3,4,3,4,3,4,3,4,"Функция репорта полезна, но хотелось бы встроенную отправку в большее число сервисов."
FB-0049,2025-06-27,студент,Ж,Safari,macOS,1.1.1,4,3,4,3,4,3,4,3,4,3,"В целом полезно, но иногда статус слишком осторожный на новых легитимных сайтах."
FB-0050,2025-06-30,школьник,М,Yandex,Windows 11,1.1.2,4,5,4,5,4,4,5,4,5,4,"Хорошо ловит подозрительные ссылки и помогает не перейти на поддельный сайт."
FB-0051,2025-07-03,пенсионер,Ж,Chrome,Windows 10,1.1.3,2,1,2,1,2,1,2,1,2,1,"Предупреждения появляются слишком часто и отвлекают, пользы лично для меня мало."
FB-0052,2025-07-06,человек средних лет,М,Brave,macOS,1.1.0,3,4,3,4,4,4,3,4,3,4,"Хорошая защита, при этом иногда хочется быстрее добавлять сайт в исключения."
FB-0053,2025-07-09,студент,Ж,Arc,Windows 11,1.1.1,5,4,5,4,5,5,4,5,4,5,"Подсветка ссылок до клика действительно снижает число случайных переходов."
FB-0054,2025-07-12,школьник,М,Safari,macOS,1.1.2,4,5,4,5,4,4,5,4,5,4,"Интерфейс простой, всё понятно без отдельной инструкции."
FB-0055,2025-07-15,пенсионер,Ж,Yandex,Windows 10,1.1.3,5,4,5,4,5,5,4,5,4,5,"После установки стал внимательнее к доменам, расширение хорошо подсказывает риски."
FB-0056,2025-07-18,человек средних лет,М,Chrome,Windows 11,1.1.0,3,4,3,4,2,4,3,4,3,4,"Функция репорта полезна, но хотелось бы встроенную отправку в большее число сервисов."
FB-0057,2025-07-21,студент,Ж,Brave,Windows 10,1.1.1,5,4,5,4,5,5,4,5,4,5,"Расширение удобное: предупреждения понятные, в работе почти не мешает."
FB-0058,2025-07-24,школьник,М,Arc,macOS,1.1.2,1,2,1,2,1,2,1,2,1,2,"Производительность просела: на части страниц стало медленнее открытие и взаимодействие."
FB-0059,2025-07-27,пенсионер,Ж,Safari,macOS,1.1.3,5,4,5,4,5,5,4,5,4,5,"Понравилась скорость проверки: вердикт появляется быстро и читаемо."
FB-0060,2025-07-30,человек средних лет,М,Yandex,Windows 11,1.1.0,3,4,3,4,3,4,3,4,3,4,"Хорошая защита, при этом иногда хочется быстрее добавлять сайт в исключения."
FB-0061,2025-08-02,студент,Ж,Chrome,macOS,2.0.1,5,4,5,4,5,5,4,5,4,5,"Подсветка ссылок до клика действительно снижает число случайных переходов."
FB-0062,2025-08-05,школьник,М,Brave,Windows 11,2.0.2,4,5,4,5,4,4,5,4,5,4,"Интерфейс простой, всё понятно без отдельной инструкции."
FB-0063,2025-08-08,пенсионер,Ж,Arc,Windows 10,2.0.3,4,3,4,3,3,3,4,3,4,3,"Детект хороший, но в редких случаях срабатывает на безопасные промо-страницы."
FB-0064,2025-08-11,человек средних лет,М,Safari,macOS,2.0.4,3,4,3,4,4,4,3,4,3,4,"Функция репорта полезна, но хотелось бы встроенную отправку в большее число сервисов."
FB-0065,2025-08-14,студент,Ж,Yandex,Windows 10,2.0.5,5,4,5,4,5,5,4,5,4,5,"Расширение удобное: предупреждения понятные, в работе почти не мешает."
FB-0066,2025-08-17,школьник,М,Chrome,Windows 10,2.0.6,4,5,4,5,4,4,5,4,5,4,"Хорошо ловит подозрительные ссылки и помогает не перейти на поддельный сайт."
FB-0067,2025-08-20,пенсионер,Ж,Brave,macOS,2.0.7,5,4,5,4,5,5,4,5,4,5,"Понравилась скорость проверки: вердикт появляется быстро и читаемо."
FB-0068,2025-08-23,человек средних лет,М,Arc,Windows 11,2.0.8,1,2,1,2,1,2,1,2,1,2,"Негативный опыт: несколько легитимных сайтов были отмечены как риск, работать неудобно."
FB-0069,2025-08-26,студент,Ж,Safari,macOS,2.0.9,5,4,5,4,5,5,4,5,4,5,"Подсветка ссылок до клика действительно снижает число случайных переходов."
FB-0070,2025-08-29,школьник,М,Yandex,Windows 11,2.0.0,3,4,3,4,4,4,3,4,3,4,"Расширение помогает, хотя визуально некоторые предупреждения можно сделать компактнее."
FB-0071,2025-09-01,пенсионер,Ж,Chrome,Windows 11,2.0.1,5,4,5,4,5,5,4,5,4,5,"После установки стал внимательнее к доменам, расширение хорошо подсказывает риски."
FB-0072,2025-09-04,человек средних лет,М,Brave,Windows 10,2.0.2,3,4,3,4,3,4,3,4,3,4,"Функция репорта полезна, но хотелось бы встроенную отправку в большее число сервисов."
FB-0073,2025-09-07,студент,Ж,Arc,macOS,2.0.3,5,4,5,4,5,5,4,5,4,5,"Расширение удобное: предупреждения понятные, в работе почти не мешает."
FB-0074,2025-09-10,школьник,М,Safari,macOS,2.0.4,4,5,4,5,4,4,5,4,5,4,"Хорошо ловит подозрительные ссылки и помогает не перейти на поддельный сайт."
FB-0075,2025-09-13,пенсионер,Ж,Yandex,Windows 10,2.0.5,5,4,5,4,5,5,4,5,4,5,"Понравилась скорость проверки: вердикт появляется быстро и читаемо."
FB-0076,2025-09-16,человек средних лет,М,Chrome,macOS,2.0.6,3,4,3,4,4,4,3,4,3,4,"Хорошая защита, при этом иногда хочется быстрее добавлять сайт в исключения."
FB-0077,2025-09-19,студент,Ж,Brave,Windows 11,2.0.7,4,3,4,3,2,3,4,3,4,3,"Польза высокая, но отдельные уведомления можно сделать менее частыми."
FB-0078,2025-09-22,школьник,М,Arc,Windows 10,2.0.8,4,5,4,5,4,4,5,4,5,4,"Интерфейс простой, всё понятно без отдельной инструкции."
FB-0079,2025-09-25,пенсионер,Ж,Safari,macOS,2.0.9,5,4,5,4,5,5,4,5,4,5,"После установки стал внимательнее к доменам, расширение хорошо подсказывает риски."
FB-0080,2025-09-28,человек средних лет,М,Yandex,Windows 11,2.0.0,3,4,3,4,2,4,3,4,3,4,"Функция репорта полезна, но хотелось бы встроенную отправку в большее число сервисов."
FB-0081,2025-10-01,студент,Ж,Chrome,Windows 10,2.0.1,5,4,5,4,5,5,4,5,4,5,"Расширение удобное: предупреждения понятные, в работе почти не мешает."
FB-0082,2025-10-04,школьник,М,Brave,macOS,2.0.2,4,5,4,5,4,4,5,4,5,4,"Хорошо ловит подозрительные ссылки и помогает не перейти на поддельный сайт."
FB-0083,2025-10-07,пенсионер,Ж,Arc,Windows 11,2.0.3,5,4,5,4,5,5,4,5,4,5,"Понравилась скорость проверки: вердикт появляется быстро и читаемо."
FB-0084,2025-10-10,человек средних лет,М,Safari,macOS,2.0.4,3,4,3,4,3,4,3,4,3,4,"Хорошая защита, при этом иногда хочется быстрее добавлять сайт в исключения."
FB-0085,2025-10-13,студент,Ж,Yandex,Windows 10,2.0.5,2,1,2,1,2,1,2,1,2,1,"Полностью недоволен: слишком много ложных тревог, из-за этого сложно доверять вердиктам."
FB-0086,2025-10-16,школьник,М,Chrome,Windows 11,2.0.6,4,5,4,5,4,4,5,4,5,4,"Интерфейс простой, всё понятно без отдельной инструкции."
FB-0087,2025-10-19,пенсионер,Ж,Brave,Windows 10,2.0.7,2,1,2,1,2,1,2,1,2,1,"Предупреждения появляются слишком часто и отвлекают, пользы лично для меня мало."
FB-0088,2025-10-22,человек средних лет,М,Arc,macOS,2.0.8,3,4,3,4,4,4,3,4,3,4,"Функция репорта полезна, но хотелось бы встроенную отправку в большее число сервисов."
FB-0089,2025-10-25,студент,Ж,Safari,macOS,2.0.9,5,4,5,4,5,5,4,5,4,5,"Расширение удобное: предупреждения понятные, в работе почти не мешает."
FB-0090,2025-10-28,школьник,М,Yandex,Windows 11,2.0.0,4,5,4,5,4,4,5,4,5,4,"Хорошо ловит подозрительные ссылки и помогает не перейти на поддельный сайт."
FB-0091,2025-10-31,пенсионер,Ж,Chrome,macOS,2.0.1,4,3,4,3,4,3,4,3,4,3,"Работает стабильно, но на части лендингов бывают спорные предупреждения."
FB-0092,2025-11-03,человек средних лет,М,Brave,Windows 11,2.1.2,3,4,3,4,2,4,3,4,3,4,"Хорошая защита, при этом иногда хочется быстрее добавлять сайт в исключения."
FB-0093,2025-11-06,студент,Ж,Arc,Windows 10,2.1.3,5,4,5,4,5,5,4,5,4,5,"Подсветка ссылок до клика действительно снижает число случайных переходов."
FB-0094,2025-11-09,школьник,М,Safari,macOS,2.1.4,4,5,4,5,4,4,5,4,5,4,"Интерфейс простой, всё понятно без отдельной инструкции."
FB-0095,2025-11-12,пенсионер,Ж,Yandex,Windows 10,2.1.0,5,4,5,4,5,5,4,5,4,5,"После установки стал внимательнее к доменам, расширение хорошо подсказывает риски."
FB-0096,2025-11-15,человек средних лет,М,Chrome,Windows 10,2.1.1,3,4,3,4,3,4,3,4,3,4,"Функция репорта полезна, но хотелось бы встроенную отправку в большее число сервисов."
FB-0097,2025-11-18,студент,Ж,Brave,macOS,2.1.2,5,4,5,4,5,5,4,5,4,5,"Расширение удобное: предупреждения понятные, в работе почти не мешает."
FB-0098,2025-11-21,школьник,М,Arc,Windows 11,2.1.3,3,4,3,4,2,4,3,4,3,4,"Нравится функциональность, однако хотелось бы ещё подробнее объяснять причину тревоги."
FB-0099,2025-11-24,пенсионер,Ж,Safari,macOS,2.1.4,5,4,5,4,5,5,4,5,4,5,"Понравилась скорость проверки: вердикт появляется быстро и читаемо."
FB-0100,2025-11-27,человек средних лет,М,Yandex,Windows 11,2.1.0,3,4,3,4,4,4,3,4,3,4,"Хорошая защита, при этом иногда хочется быстрее добавлять сайт в исключения."
FB-0101,2025-11-30,студент,Ж,Chrome,Windows 11,2.1.1,5,4,5,4,5,5,4,5,4,5,"Подсветка ссылок до клика действительно снижает число случайных переходов."
FB-0102,2025-12-03,школьник,М,Brave,Windows 10,2.1.2,1,2,1,2,1,2,1,2,1,2,"Интерфейс показался перегруженным, не хватает более простого сценария для обычного пользователя."
FB-0103,2025-12-06,пенсионер,Ж,Arc,macOS,2.1.3,5,4,5,4,5,5,4,5,4,5,"После установки стал внимательнее к доменам, расширение хорошо подсказывает риски."
FB-0104,2025-12-09,человек средних лет,М,Safari,macOS,2.1.4,3,4,3,4,2,4,3,4,3,4,"Функция репорта полезна, но хотелось бы встроенную отправку в большее число сервисов."
FB-0105,2025-12-12,студент,Ж,Yandex,Windows 10,2.1.0,4,3,4,3,3,3,4,3,4,3,"В целом полезно, но иногда статус слишком осторожный на новых легитимных сайтах."
FB-0106,2025-12-15,школьник,М,Chrome,macOS,2.1.1,4,5,4,5,4,4,5,4,5,4,"Хорошо ловит подозрительные ссылки и помогает не перейти на поддельный сайт."
FB-0107,2025-12-18,пенсионер,Ж,Brave,Windows 11,2.1.2,5,4,5,4,5,5,4,5,4,5,"Понравилась скорость проверки: вердикт появляется быстро и читаемо."
FB-0108,2025-12-21,человек средних лет,М,Arc,Windows 10,2.1.3,3,4,3,4,3,4,3,4,3,4,"Хорошая защита, при этом иногда хочется быстрее добавлять сайт в исключения."
FB-0109,2025-12-24,студент,Ж,Safari,macOS,2.1.4,5,4,5,4,5,5,4,5,4,5,"Подсветка ссылок до клика действительно снижает число случайных переходов."
FB-0110,2025-12-27,школьник,М,Yandex,Windows 11,2.1.0,4,5,4,5,4,4,5,4,5,4,"Интерфейс простой, всё понятно без отдельной инструкции."
FB-0111,2025-12-30,пенсионер,Ж,Chrome,Windows 10,2.1.1,5,4,5,4,5,5,4,5,4,5,"После установки стал внимательнее к доменам, расширение хорошо подсказывает риски."
FB-0112,2026-01-02,человек средних лет,М,Brave,macOS,2.2.0,3,4,3,4,4,4,3,4,3,4,"Функция репорта полезна, но хотелось бы встроенную отправку в большее число сервисов."
FB-0113,2026-01-05,студент,Ж,Arc,Windows 11,2.2.0,5,4,5,4,5,5,4,5,4,5,"Расширение удобное: предупреждения понятные, в работе почти не мешает."
FB-0114,2026-01-08,школьник,М,Safari,macOS,2.2.0,4,5,4,5,4,4,5,4,5,4,"Хорошо ловит подозрительные ссылки и помогает не перейти на поддельный сайт."
FB-0115,2026-01-11,пенсионер,Ж,Yandex,Windows 10,2.2.0,5,4,5,4,5,5,4,5,4,5,"Понравилась скорость проверки: вердикт появляется быстро и читаемо."
FB-0116,2026-01-14,человек средних лет,М,Chrome,Windows 11,2.2.0,1,2,1,2,1,2,1,2,1,2,"Негативный опыт: несколько легитимных сайтов были отмечены как риск, работать неудобно."
FB-0117,2026-01-17,студент,Ж,Brave,Windows 10,2.2.0,5,4,5,4,5,5,4,5,4,5,"Подсветка ссылок до клика действительно снижает число случайных переходов."
FB-0118,2026-01-20,школьник,М,Arc,macOS,2.2.0,4,5,4,5,4,4,5,4,5,4,"Интерфейс простой, всё понятно без отдельной инструкции."
FB-0119,2026-01-23,пенсионер,Ж,Safari,macOS,2.2.0,2,1,2,1,2,1,2,1,2,1,"Не устроило качество детекта: пропустил один подозрительный сайт и часто ругался на нормальные."
FB-0120,2026-01-26,человек средних лет,М,Yandex,Windows 11,2.2.0,3,4,3,4,3,4,3,4,3,4,"Функция репорта полезна, но хотелось бы встроенную отправку в большее число сервисов."
FB-0121,2026-01-29,студент,Ж,Chrome,macOS,2.2.0,5,4,5,4,5,5,4,5,4,5,"Расширение удобное: предупреждения понятные, в работе почти не мешает."
FB-0122,2026-02-01,школьник,М,Brave,Windows 11,2.2.0,4,5,4,5,4,4,5,4,5,4,"Хорошо ловит подозрительные ссылки и помогает не перейти на поддельный сайт."
FB-0123,2026-02-04,пенсионер,Ж,Arc,Windows 10,2.2.0,5,4,5,4,5,5,4,5,4,5,"Понравилась скорость проверки: вердикт появляется быстро и читаемо."
FB-0124,2026-02-07,человек средних лет,М,Safari,macOS,2.2.0,3,4,3,4,4,4,3,4,3,4,"Хорошая защита, при этом иногда хочется быстрее добавлять сайт в исключения."
FB-0125,2026-02-10,студент,Ж,Yandex,Windows 10,2.2.0,5,4,5,4,5,5,4,5,4,5,"Подсветка ссылок до клика действительно снижает число случайных переходов."
FB-0126,2026-02-13,школьник,М,Chrome,Windows 10,2.2.0,3,4,3,4,3,4,3,4,3,4,"Расширение помогает, хотя визуально некоторые предупреждения можно сделать компактнее."
FB-0127,2026-02-16,пенсионер,Ж,Brave,macOS,2.2.1,5,4,5,4,5,5,4,5,4,5,"После установки стал внимательнее к доменам, расширение хорошо подсказывает риски."
FB-0128,2026-02-19,человек средних лет,М,Arc,Windows 11,2.2.1,3,4,3,4,2,4,3,4,3,4,"Функция репорта полезна, но хотелось бы встроенную отправку в большее число сервисов."
FB-0129,2026-02-22,студент,Ж,Safari,macOS,2.2.1,5,4,5,4,5,5,4,5,4,5,"Расширение удобное: предупреждения понятные, в работе почти не мешает."
FB-0130,2026-02-25,школьник,М,Yandex,Windows 11,2.2.1,4,5,4,5,4,4,5,4,5,4,"Хорошо ловит подозрительные ссылки и помогает не перейти на поддельный сайт."
FB-0131,2026-02-28,пенсионер,Ж,Chrome,Windows 11,2.2.1,5,4,5,4,5,5,4,5,4,5,"Понравилась скорость проверки: вердикт появляется быстро и читаемо."
FB-0132,2026-03-03,человек средних лет,М,Brave,Windows 10,2.2.1,3,4,3,4,3,4,3,4,3,4,"Хорошая защита, при этом иногда хочется быстрее добавлять сайт в исключения."
FB-0133,2026-03-06,студент,Ж,Arc,macOS,2.2.1,4,3,4,3,4,3,4,3,4,3,"Польза высокая, но отдельные уведомления можно сделать менее частыми."
FB-0134,2026-03-09,школьник,М,Safari,macOS,2.2.1,4,5,4,5,4,4,5,4,5,4,"Интерфейс простой, всё понятно без отдельной инструкции."
FB-0135,2026-03-12,пенсионер,Ж,Yandex,Windows 10,2.2.1,5,4,5,4,5,5,4,5,4,5,"После установки стал внимательнее к доменам, расширение хорошо подсказывает риски."
