Номер отзыва,Дата,Группа пользователей,Пол,Браузер,Операционная система,Версия расширения,Оценка первого знакомства,Оценка понятности,Оценка заметности предупреждений,Оценка точности распознавания,Оценка ложных срабатываний,Оценка скорости работы,Оценка стабильности,Оценка доверия,Оценка готовности рекомендовать,Итоговая оценка
FB-0040,2025-11-26,молодой специалист,М,Chrome,macOS 14,2.4.1,5,5,5,5,4,5,5,4,5,5
FB-0041,2025-11-29,человек средних лет,Ж,Yandex,Linux (Ubuntu 22.04),2.4.5,5,5,5,5,5,4,5,5,4,5
FB-0042,2025-12-02,человек средних лет,М,Safari,macOS 14,2.4.5,4,5,5,5,5,5,4,5,5,5
FB-0043,2025-12-05,человек средних лет,Ж,Chrome,Windows 11,2.4.5,5,4,5,5,5,5,5,4,5,5
FB-0044,2025-12-08,человек средних лет,М,Yandex,macOS 14,2.4.5,5,5,4,5,5,5,5,5,4,5
FB-0045,2025-12-11,человек средних лет,Ж,Safari,macOS 14,2.4.5,4,5,5,4,5,5,5,5,5,5
FB-0046,2025-12-14,человек средних лет,М,Chrome,macOS 14,2.4.5,4,4,3,4,4,4,3,4,4,4
FB-0047,2025-12-17,человек средних лет,Ж,Yandex,Windows 11,2.4.5,4,4,4,3,4,4,4,3,4,4
FB-0048,2025-12-20,человек средних лет,М,Safari,macOS 14,2.4.5,4,4,4,4,3,4,4,4,3,4
FB-0049,2025-12-23,человек средних лет,Ж,Chrome,Linux (Ubuntu 22.04),2.4.5,3,4,4,4,4,3,4,4,4,4
FB-0050,2025-12-26,человек средних лет,М,Yandex,macOS 14,2.4.5,4,3,4,4,4,4,3,4,4,4
FB-0051,2025-12-29,человек средних лет,Ж,Safari,macOS 14,2.4.5,4,4,3,4,4,4,4,3,4,4
FB-0052,2026-01-01,человек средних лет,М,Chrome,macOS 14,2.4.5,4,4,4,3,4,4,4,4,3,4
FB-0053,2026-01-04,человек средних лет,Ж,Yandex,Linux (Ubuntu 22.04),2.4.5,3,4,4,4,3,4,4,4,4,4
FB-0054,2026-01-07,человек средних лет,М,Safari,macOS 14,2.4.5,4,3,4,4,4,3,4,4,4,4
FB-0055,2026-01-10,человек средних лет,Ж,Chrome,Windows 11,2.4.5,4,4,3,4,4,4,3,4,4,4
FB-0056,2026-01-13,человек средних лет,М,Yandex,macOS 14,2.4.5,3,3,3,3,3,3,3,3,3,3
FB-0057,2026-01-16,человек средних лет,Ж,Safari,macOS 14,2.4.5,3,3,3,3,3,3,3,3,3,3
FB-0058,2026-01-19,человек средних лет,М,Chrome,macOS 14,2.4.5,3,3,3,3,3,3,3,3,3,3
FB-0059,2026-01-22,человек средних лет,Ж,Yandex,Windows 11,2.4.5,3,3,3,3,3,3,3,3,3,3
FB-0060,2026-01-25,человек средних лет,М,Safari,macOS 14,2.4.5,3,3,3,3,3,3,3,3,3,3
FB-0061,2026-01-28,человек средних лет,Ж,Chrome,Linux (Ubuntu 22.04),2.5.1,5,4,5,5,5,5,5,4,5,5
FB-0062,2026-01-31,человек средних лет,М,Yandex,macOS 14,2.5.0,5,5,4,5,5,5,5,5,4,5
FB-0063,2026-02-03,человек средних лет,Ж,Safari,macOS 14,2.5.0,4,5,5,4,5,5,5,5,5,5
FB-0064,2026-02-06,человек средних лет,М,Chrome,macOS 14,2.5.0,5,4,5,5,4,5,5,5,5,5
FB-0065,2026-02-09,человек средних лет,Ж,Yandex,Linux (Ubuntu 22.04),2.5.0,5,5,4,5,5,4,5,5,5,5
FB-0066,2026-02-12,человек средних лет,М,Safari,macOS 14,2.5.1,5,5,5,4,5,5,4,5,5,5
FB-0067,2026-02-15,человек средних лет,Ж,Chrome,Windows 11,2.5.0,5,5,5,5,4,5,5,4,5,5
FB-0068,2026-02-18,человек средних лет,М,Yandex,macOS 14,2.5.0,5,5,5,5,5,4,5,5,4,5
FB-0069,2026-02-21,человек средних лет,Ж,Safari,macOS 14,2.5.0,4,5,5,5,5,5,4,5,5,5
FB-0070,2026-02-24,человек средних лет,М,Chrome,macOS 14,2.5.0,5,4,5,5,5,5,5,4,5,5
FB-0071,2026-02-27,пенсионер,Ж,Yandex,Windows 11,2.5.1,5,5,4,5,5,5,5,5,4,5
FB-0072,2026-03-02,пенсионер,М,Safari,macOS 14,2.5.0,4,5,5,4,5,5,5,5,5,5
FB-0073,2026-03-05,пенсионер,Ж,Chrome,Linux (Ubuntu 22.04),2.5.0,5,4,5,5,4,5,5,5,5,5
FB-0074,2026-03-08,пенсионер,М,Yandex,macOS 14,2.5.0,5,5,4,5,5,4,5,5,5,5
FB-0075,2026-03-11,пенсионер,Ж,Safari,macOS 14,2.5.0,5,5,5,4,5,5,4,5,5,5
FB-0076,2026-03-14,пенсионер,М,Chrome,macOS 14,2.5.1,5,5,5,5,4,5,5,4,5,5
FB-0077,2026-03-17,пенсионер,Ж,Yandex,Linux (Ubuntu 22.04),2.5.0,5,5,5,5,5,4,5,5,4,5
FB-0078,2026-03-20,пенсионер,М,Safari,macOS 14,2.5.0,4,5,5,5,5,5,4,5,5,5
FB-0079,2026-03-23,пенсионер,Ж,Chrome,Windows 11,2.5.0,5,4,5,5,5,5,5,4,5,5
FB-0080,2026-03-26,пенсионер,М,Yandex,macOS 14,2.5.0,5,5,4,5,5,5,5,5,4,5
FB-0081,2026-03-29,пенсионер,Ж,Safari,macOS 14,2.5.1,4,5,5,4,5,5,5,5,5,5
FB-0082,2026-04-01,пенсионер,М,Chrome,macOS 14,2.5.0,5,4,5,5,4,5,5,5,5,5
FB-0083,2026-04-04,пенсионер,Ж,Yandex,Windows 11,2.5.0,5,5,4,5,5,4,5,5,5,5
FB-0084,2026-04-07,пенсионер,М,Safari,macOS 14,2.5.0,5,5,5,4,5,5,4,5,5,5
FB-0085,2026-04-10,пенсионер,Ж,Chrome,Linux (Ubuntu 22.04),2.5.0,5,5,5,5,4,5,5,4,5,5
FB-0086,2026-04-13,пенсионер,М,Yandex,macOS 14,2.5.0,5,5,5,5,5,4,5,5,4,5
FB-0087,2026-04-16,пенсионер,Ж,Safari,macOS 14,2.5.1,4,5,5,5,5,5,4,5,5,5
FB-0088,2026-04-19,пенсионер,М,Chrome,macOS 14,2.5.0,5,4,5,5,5,5,5,4,5,5
FB-0089,2026-04-22,пенсионер,Ж,Yandex,Linux (Ubuntu 22.04),2.5.0,5,5,4,5,5,5,5,5,4,5
FB-0090,2026-04-25,пенсионер,М,Safari,macOS 14,2.5.0,4,5,5,4,5,5,5,5,5,5
FB-0091,2026-04-28,пенсионер,Ж,Chrome,Windows 11,2.5.0,5,4,5,5,4,5,5,5,5,5
FB-0092,2026-05-01,пенсионер,М,Yandex,macOS 14,2.5.0,5,5,4,5,5,4,5,5,5,5
FB-0093,2026-05-04,пенсионер,Ж,Safari,macOS 14,2.5.1,5,5,5,4,5,5,4,5,5,5
FB-0094,2026-05-07,пенсионер,М,Chrome,macOS 14,2.5.0,5,5,5,5,4,5,5,4,5,5
FB-0095,2026-05-10,пенсионер,Ж,Yandex,Windows 11,2.5.0,5,5,5,5,5,4,5,5,4,5
FB-0096,2026-05-13,пенсионер,М,Safari,macOS 14,2.5.0,4,4,4,4,4,4,4,3,4,4
FB-0097,2026-05-16,пенсионер,Ж,Chrome,Linux (Ubuntu 22.04),2.5.0,4,4,4,3,4,4,4,4,3,4
FB-0098,2026-05-19,пенсионер,М,Yandex,macOS 14,2.5.0,4,4,4,4,3,4,4,4,4,4
FB-0099,2026-05-22,пенсионер,Ж,Safari,macOS 14,2.5.1,4,4,4,4,4,3,4,4,4,4
FB-0100,2026-05-25,пенсионер,М,Chrome,macOS 14,2.5.0,4,4,4,4,4,4,3,4,4,4
